InputType,Size,Heap
Random,8000,0.73
Random,12000,0.98
Random,16000,1.41
Random,20000,1.65
Random,24000,1.91
Random,28000,2.24
Random,32000,2.57
Random,36000,3.51
Ascending,8000,0.55
Ascending,12000,0.85
Ascending,16000,1.13
Ascending,20000,1.54
Ascending,24000,1.87
Ascending,28000,2.15
Ascending,32000,2.24
Ascending,36000,2.57
Descending,8000,0.44
Descending,12000,0.70
Descending,16000,0.94
Descending,20000,1.22
Descending,24000,1.50
Descending,28000,1.88
Descending,32000,2.25
Descending,36000,2.47
